4.0,[-0.00018189894035458562,-0.9570759592255247,-0.03689111830832796,0.14101620611957816,1.5930766039673472]
98.0,[0.00016484591469634322,0.0,-3.453237695794087e-5,0.1170652315825767,0.0]
99.0,[0.00016579330501069003,0.0,-3.452053457901154e-5,0.1170652315825767,0.0]
100.0,[0.00016484591469634322,0.0,-3.452053457901154e-5,0.1170652315825767,0.0]
101.0,[0.00016579330501069003,0.0,-3.453237695794087e-5,0.1170652315825767,0.0]
102.0,[0.0002472688720445148,0.0,-8.705332750954162e-5,0.14511082705818504,0.0]
103.0,[0.0002472688720445148,0.0,-8.784676689780706e-5,0.14515819657390236,0.0]
104.0,[0.00016863547595373044,0.0,-3.744560217455728e-5,0.11842094712240697,0.0]
105.0,[0.00016958286626807723,0.0,-3.686532560701987e-5,0.11838684107109049,0.0]
106.0,[0.00016579330501069003,0.0,-3.4686327884022226e-5,0.11714481236898183,0.0]
107.0,[0.00024632148173016805,0.0,-8.720727843562297e-5,0.1451752495995606,0.0]
108.0,[0.00024821626235886163,0.0,-8.785860927673639e-5,0.14516009135453106,0.0]
109.0,[0.00017147764689677084,0.0,-3.745744455348662e-5,0.11842473668366436,0.0]
110.0,[0.00016958286626807723,0.0,-3.6841640849161195e-5,0.11838589368077615,0.0]
111.0,[0.00016674069532503683,0.0,-3.4710012641880894e-5,0.11714481236898183,0.0]
112.0,[0.00016674069532503683,0.0,-3.4638958368304884e-5,0.11713060151426663,0.0]
113.0,[0.00016768808563938362,0.0,-3.4544219336870206e-5,0.11707186331477713,0.0]
114.0,[0.00016484591469634322,0.0,-3.453237695794087e-5,0.11706902114383409,0.0]
115.0,[0.00016484591469634322,0.0,-3.452053457901154e-5,0.11706617897289105,0.0]
116.0,[0.0002472688720445148,0.0,-8.706516988847095e-5,0.14510987966787067,0.0]
117.0,[0.00031453358436313766,0.0,-0.00015550227772109793,0.1727623081630251,0.0]
118.0,[-0.00038653524825349445,0.0,-0.00015237588968375348,0.16555835221273202,0.0]
119.0,[-0.00038748263856784127,0.0,-0.00015599965763613,0.16676438008289549,0.0]
120.0,[-0.0005163277213190061,0.0,-0.00032554699676741927,0.21761744998608867,0.0]
121.0,[-0.0007181218582748745,0.0,-0.0005389585074529654,0.2656719289007014,0.0]
122.0,[-0.001024128929808891,0.0,-0.0007947420499476721,0.31203626349451946,0.0]
123.0,[-0.0008810729923425241,0.0,-0.0006828670962022443,0.2922632802437874,0.0]
124.0,[-0.00046327386371558527,0.0,-0.0002627113341683677,0.19933755387076718,0.0]
125.0,[-0.00045948430245819805,0.0,-0.00025579538487363607,0.1982973193056144,0.0]
126.0,[-0.0006148563140110733,0.0,-0.0004340705572758452,0.24344236256486812,0.0]
127.0,[-0.00044906300900038326,0.0,-0.00024269771377779156,0.1940463789651403,0.0]
128.0,[-0.00035337658725135646,0.0,-9.921545066996866e-5,0.1442117536498699,0.0]
129.0,[0.0002586375558166764,0.0,-9.743909383056841e-5,0.14919692148396277,0.0]
130.0,[8.052817671947801e-5,0.0,-6.276460832547552e-7,0.09041608943031557,0.0]
131.0,[-0.00022642628512888524,0.0,4.215886898843261e-6,0.004158096089668105,0.0]
132.0,[-0.00033442878096442047,0.0,-3.926932852967487e-5,-0.027373895742736444,0.0]
133.0,[-0.00034769224536527565,0.0,-4.712082575982398e-5,-0.03144104236222726,0.0]
134.0,[-0.00025484799455928925,0.0,-5.080380560684716e-6,-0.004388311936054378,0.0]
135.0,[-0.00015442462123852843,0.0,1.9350447170533396e-5,0.02414518955144255,0.0]
136.0,[-0.00014968766966679442,0.0,1.9824142327706795e-5,0.025456377746498518,0.0]
137.0,[-0.00024632148173016805,0.0,-2.1316282072803006e-6,-0.0019052019221514152,0.0]
138.0,[-0.00024632148173016805,0.0,-2.119785828350966e-6,-0.001882464554607092,0.0]
